              tono         no-tono       totalt  nye innslag pr. dag
  2011-09-10  591 (29.9%)  1385 (70.1%)  1976    3.5
  2011-09-08  585 (29.7%)  1384 (70.3%)  1969    0.0
  2011-09-06  585 (29.7%)  1384 (70.3%)  1969    0.7
  2011-06-01  565 (29.7%)  1336 (70.3%)  1901    1.7
  2011-02-25  545 (31.4%)  1193 (68.6%)  1738    3.7
  2011-02-02  533 (32.2%)  1121 (67.8%)  1654    1.8
  2011-01-20  531 (32.6%)  1100 (67.4%)  1631    1.8
  2010-10-04  446 (31.1%)   990 (68.9%)  1436    2.2
  2010-09-11  441 (31.8%)   945 (68.2%)  1386    2.5
  2010-08-24  434 (32.4%)   907 (67.6%)  1341    2.0
  2010-02-07  355 (37%)     584 (62%)     940
