"Filename","Logo","Name","Title","What","Date","Location","Genre","Organization","Contact","License","Language","Takk","Takk","Takk","Takk","URL","URL"
"20091014-wa-harris-about_bergen.dv","Wikimedia_Norge-logo.png","Christopher Harris","About Bergen","Wikipedia Academy 2009","2009-10-14","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","en","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091014-wa-wales-wikipedia.dv","Wikimedia_Norge-logo.png","Jimmy Wales","Wikipedia","Wikipedia Academy 2009","2009-10-14","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","en","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091014-wa-slettholm-kopinor.dv","Wikimedia_Norge-logo.png","Yngve Slettholm","Kopinor - vår plass i det hele","Wikipedia Academy 2009","2009-10-14","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","no","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091014-wa-bergo-wikipedia_bakgrunn_lederartikler.dv","Wikimedia_Norge-logo.png","Olav Terje Bergo","Wikipedia bakgrunn for lederartikler?","Wikipedia Academy 2009","2009-10-14","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","no","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091014-wa-lura-hvem_sjekker_faktasjekkerne.dv","Wikimedia_Norge-logo.png","Christian Lura","Hvem sjekker faktasjekkerne?","Wikipedia Academy 2009","2009-10-14","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","no","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091014-wa-lunde-sosiale_medier.dv","Wikimedia_Norge-logo.png","Heidi Nordby Lunde","Sosiale medier","Wikipedia Academy 2009","2009-10-14","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","no","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091015-wa-schulenburg-ocean_of_knowledge.dv","Wikimedia_Norge-logo.png","Frank Schulenburg","an ocean of knowledge","Wikipedia Academy 2009","2009-10-15","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","en","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091015-wa-rettberg-has_wikipedia_grown_up.dv","Wikimedia_Norge-logo.png","Jill Walker Rettberg","Has Wikipedia grown up?","Wikipedia Academy 2009","2009-10-15","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","en","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091015-wa-knapskog-digital_archives.dv","Wikimedia_Norge-logo.png","Karl Knapskog","Digital archives","Wikipedia Academy 2009","2009-10-15","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","en","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
"20091015-wa-nagel-boer_studenter_bruke_wikipedia.dv","Wikimedia_Norge-logo.png","Anne-Hilde Nagel","Bør studenter bruke wikipedia","Wikipedia Academy 2009","2009-10-15","Bryggens Museum","Foredrag","NUUG","sekretariat@nuug.no","cc-by-sa-3.0-no","no","Videogruppen:Ole Kristian Lien","Videogruppen:Hans-Petter Fjeld","Videogruppen:Lars Åge Kamfjord","Videogruppen:Jon Harald Søby","http://nuug.no/","http://no.wikimedia.org/"
